Rank,School,Link,Conference,Total Revenue,Total Expenses,Total Allocated,Link,Percent Allocated,School,Link
126,Albany,https://sportsdata.usatoday.com/ncaa/finances/196060,AmEast,"$27,295,306 ","$27,056,948 ","$21,250,608 ",,77.85%,Albany,https://sportsdata.usatoday.com/ncaa/finances/196060
127,Montana State,https://sportsdata.usatoday.com/ncaa/finances/180461,BigSky,"$26,410,575 ","$26,119,361 ","$11,972,150 ",,45.33%,Montana State,https://sportsdata.usatoday.com/ncaa/finances/180461
128,Nebraska-Omaha,https://sportsdata.usatoday.com/ncaa/finances/181394,Summit,"$25,890,688 ","$21,502,666 ","$16,065,567 ",,62.05%,Nebraska-Omaha,https://sportsdata.usatoday.com/ncaa/finances/181394
129,Northern Arizona,https://sportsdata.usatoday.com/ncaa/finances/105330,BigSky,"$25,750,579 ","$25,388,969 ","$21,118,498 ",,82.01%,Northern Arizona,https://sportsdata.usatoday.com/ncaa/finances/105330
130,Bowling Green,https://sportsdata.usatoday.com/ncaa/finances/201441,MAC,"$25,573,967 ","$25,353,769 ","$13,760,180 ",,53.81%,Bowling Green,https://sportsdata.usatoday.com/ncaa/finances/201441
131,South Dakota State,https://sportsdata.usatoday.com/ncaa/finances/219356,Summit,"$25,570,541 ","$23,399,570 ","$12,267,251 ",,47.97%,South Dakota State,https://sportsdata.usatoday.com/ncaa/finances/219356
132,Maine,https://sportsdata.usatoday.com/ncaa/finances/161253,AmEast,"$25,063,461 ","$24,291,873 ","$19,247,506 ",,76.80%,Maine,https://sportsdata.usatoday.com/ncaa/finances/161253
133,California-Irvine,https://sportsdata.usatoday.com/ncaa/finances/110653,BigWst,"$24,937,907 ","$25,162,739 ","$20,366,865 ",,81.67%,California-Irvine,https://sportsdata.usatoday.com/ncaa/finances/110653
134,Maryland-Baltimore Cty,https://sportsdata.usatoday.com/ncaa/finances/163268,AmEast,"$23,488,196 ","$18,788,921 ","$21,217,973*",https://sportsdata.usatoday.com/ncaa/#,90.33%,Maryland-Baltimore Cty,https://sportsdata.usatoday.com/ncaa/finances/163268
135,Wisconsin-Milwaukee,https://sportsdata.usatoday.com/ncaa/finances/240453,Hor,"$23,311,589 ","$14,415,250 ","$20,822,707 ",,89.32%,Wisconsin-Milwaukee,https://sportsdata.usatoday.com/ncaa/finances/240453
136,Stephen F. Austin,https://sportsdata.usatoday.com/ncaa/finances/228431,WAC,"$23,217,377 ","$23,492,261 ","$17,735,154 ",,76.39%,Stephen F. Austin,https://sportsdata.usatoday.com/ncaa/finances/228431
137,College of Charleston,https://sportsdata.usatoday.com/ncaa/finances/217819,CAA,"$23,201,574 ","$22,217,391 ","$17,774,511 ",,76.61%,College of Charleston,https://sportsdata.usatoday.com/ncaa/finances/217819
138,Vermont,https://sportsdata.usatoday.com/ncaa/finances/231174,AmEast,"$23,196,348 ","$23,169,941 ","$17,170,000 ",,74.02%,Vermont,https://sportsdata.usatoday.com/ncaa/finances/231174
139,Idaho,https://sportsdata.usatoday.com/ncaa/finances/142285,BigSky,"$23,013,225 ","$22,289,958 ","$14,611,262 ",,63.49%,Idaho,https://sportsdata.usatoday.com/ncaa/finances/142285
140,Massachusetts-Lowell,https://sportsdata.usatoday.com/ncaa/finances/166513,AmEast,"$22,547,158 ","$22,192,454 ","$19,678,437 ",,87.28%,Massachusetts-Lowell,https://sportsdata.usatoday.com/ncaa/finances/166513
141,Northern Colorado,https://sportsdata.usatoday.com/ncaa/finances/127741,BigSky,"$22,439,916 ","$18,973,253 ","$13,752,149*",https://sportsdata.usatoday.com/ncaa/#,61.28%,Northern Colorado,https://sportsdata.usatoday.com/ncaa/finances/127741
142,South Dakota,https://sportsdata.usatoday.com/ncaa/finances/219471,Summit,"$22,184,268 ","$22,446,314 ","$13,796,533 ",,62.19%,South Dakota,https://sportsdata.usatoday.com/ncaa/finances/219471
143,Northern Illinois,https://sportsdata.usatoday.com/ncaa/finances/147703,MAC,"$22,177,045 ","$24,097,387 ","$12,159,935 ",,54.83%,Northern Illinois,https://sportsdata.usatoday.com/ncaa/finances/147703
144,East Tennessee State,https://sportsdata.usatoday.com/ncaa/finances/220075,SoCon,"$22,173,333 ","$22,173,333 ","$14,038,354*",https://sportsdata.usatoday.com/ncaa/#,63.31%,East Tennessee State,https://sportsdata.usatoday.com/ncaa/finances/220075
145,California State-Fullerton,https://sportsdata.usatoday.com/ncaa/finances/110565,BigWst,"$21,983,747 ","$21,983,747 ","$19,564,478 ",,89.00%,California State-Fullerton,https://sportsdata.usatoday.com/ncaa/finances/110565
146,California-Santa Barbara,https://sportsdata.usatoday.com/ncaa/finances/110705,BigWst,"$21,720,136 ","$24,902,464 ","$17,227,883 ",,79.32%,California-Santa Barbara,https://sportsdata.usatoday.com/ncaa/finances/110705
147,Sam Houston State,https://sportsdata.usatoday.com/ncaa/finances/227881,WAC,"$21,690,534 ","$20,951,301 ","$15,140,708 ",,69.80%,Sam Houston State,https://sportsdata.usatoday.com/ncaa/finances/227881
148,Long Beach State,https://sportsdata.usatoday.com/ncaa/finances/110583,BigWst,"$21,434,487 ","$25,797,936 ","$16,796,176 ",,78.36%,Long Beach State,https://sportsdata.usatoday.com/ncaa/finances/110583
149,California State-Northridge,https://sportsdata.usatoday.com/ncaa/finances/110608,BigWst,"$21,090,545 ","$20,101,511 ","$19,744,945 ",,93.62%,California State-Northridge,https://sportsdata.usatoday.com/ncaa/finances/110608
150,Tennessee-Chattanooga,https://sportsdata.usatoday.com/ncaa/finances/221740,SoCon,"$21,051,127 ","$21,051,127 ","$14,982,898 ",,71.17%,Tennessee-Chattanooga,https://sportsdata.usatoday.com/ncaa/finances/221740
151,New Jersey Tech,https://sportsdata.usatoday.com/ncaa/finances/185828,AmEast,"$20,660,097 ","$20,064,224 ","$19,195,963*",https://sportsdata.usatoday.com/ncaa/#,92.91%,New Jersey Tech,https://sportsdata.usatoday.com/ncaa/finances/185828
152,Jacksonville State,https://sportsdata.usatoday.com/ncaa/finances/101480,Asun,"$20,288,342 ","$20,288,342 ","$15,531,042 ",,76.55%,Jacksonville State,https://sportsdata.usatoday.com/ncaa/finances/101480
153,Eastern Kentucky,https://sportsdata.usatoday.com/ncaa/finances/156620,Asun,"$19,440,010 ","$19,440,010 ","$15,403,393 ",,79.24%,Eastern Kentucky,https://sportsdata.usatoday.com/ncaa/finances/156620
154,Louisiana-Monroe,https://sportsdata.usatoday.com/ncaa/finances/159993,SBC,"$19,119,368 ","$20,527,424 ","$10,179,185 ",,53.24%,Louisiana-Monroe,https://sportsdata.usatoday.com/ncaa/finances/159993
155,Lamar,https://sportsdata.usatoday.com/ncaa/finances/226091,SthLnd,"$18,882,235 ","$18,854,203 ","$13,585,383 ",,71.95%,Lamar,https://sportsdata.usatoday.com/ncaa/finances/226091
156,Southern Illinois,https://sportsdata.usatoday.com/ncaa/finances/149222,MVC,"$18,739,324 ","$22,028,920 ","$11,092,049 ",,59.19%,Southern Illinois,https://sportsdata.usatoday.com/ncaa/finances/149222
157,Indiana State,https://sportsdata.usatoday.com/ncaa/finances/151324,MVC,"$18,656,224 ","$17,903,701 ","$13,240,127 ",,70.97%,Indiana State,https://sportsdata.usatoday.com/ncaa/finances/151324
158,Murray State,https://sportsdata.usatoday.com/ncaa/finances/157401,MVC,"$18,597,756 ","$19,210,384 ","$12,857,020*",https://sportsdata.usatoday.com/ncaa/#,69.13%,Murray State,https://sportsdata.usatoday.com/ncaa/finances/157401
159,North Carolina Greensboro,https://sportsdata.usatoday.com/ncaa/finances/199148,SoCon,"$18,432,746 ","$17,118,048 ","$15,048,768 ",,81.64%,North Carolina Greensboro,https://sportsdata.usatoday.com/ncaa/finances/199148
160,Tarleton State,https://sportsdata.usatoday.com/ncaa/finances/228529,WAC,"$18,308,489 ","$18,048,307 ","$14,759,932 ",,80.62%,Tarleton State,https://sportsdata.usatoday.com/ncaa/finances/228529
161,Citadel,https://sportsdata.usatoday.com/ncaa/finances/217864,SoCon,"$18,209,217 ","$18,019,405 ","$10,855,111 ",,59.61%,Citadel,https://sportsdata.usatoday.com/ncaa/finances/217864
162,Illinois-Chicago,https://sportsdata.usatoday.com/ncaa/finances/145600,MVC,"$18,193,225 ","$19,336,276 ","$15,400,231 ",,84.65%,Illinois-Chicago,https://sportsdata.usatoday.com/ncaa/finances/145600
163,Southern,https://sportsdata.usatoday.com/ncaa/finances/160621,SWAC,"$18,190,798 ","$18,585,316 ","$13,172,423 ",,72.41%,Southern,https://sportsdata.usatoday.com/ncaa/finances/160621
164,Texas-Arlington,https://sportsdata.usatoday.com/ncaa/finances/228769,WAC,"$17,996,376 ","$18,542,203 ","$14,772,967 ",,82.09%,Texas-Arlington,https://sportsdata.usatoday.com/ncaa/finances/228769
165,Utah Valley,https://sportsdata.usatoday.com/ncaa/finances/230737,WAC,"$17,816,209 ","$18,906,619 ","$14,784,832 ",,82.99%,Utah Valley,https://sportsdata.usatoday.com/ncaa/finances/230737
166,Youngstown State,https://sportsdata.usatoday.com/ncaa/finances/206695,Hor,"$17,773,160 ","$17,773,159 ","$12,996,486 ",,73.12%,Youngstown State,https://sportsdata.usatoday.com/ncaa/finances/206695
167,California-Riverside,https://sportsdata.usatoday.com/ncaa/finances/110671,BigWst,"$17,692,802 ","$16,789,734 ","$16,043,635 ",,90.68%,California-Riverside,https://sportsdata.usatoday.com/ncaa/finances/110671
168,Austin Peay,https://sportsdata.usatoday.com/ncaa/finances/219602,Asun,"$17,641,703 ","$17,644,953 ","$13,072,545 ",,74.10%,Austin Peay,https://sportsdata.usatoday.com/ncaa/finances/219602
169,Oakland,https://sportsdata.usatoday.com/ncaa/finances/171571,Hor,"$17,619,216 ","$17,325,703 ","$13,556,681 ",,76.94%,Oakland,https://sportsdata.usatoday.com/ncaa/finances/171571
170,Northern Iowa,https://sportsdata.usatoday.com/ncaa/finances/154095,MVC,"$17,603,463 ","$19,819,613 ","$9,371,580 ",,53.24%,Northern Iowa,https://sportsdata.usatoday.com/ncaa/finances/154095
171,Florida Gulf Coast,https://sportsdata.usatoday.com/ncaa/finances/433660,Asun,"$17,583,497 ","$17,286,852 ","$11,283,055 ",,64.17%,Florida Gulf Coast,https://sportsdata.usatoday.com/ncaa/finances/433660
172,Tennessee Tech,https://sportsdata.usatoday.com/ncaa/finances/221847,OVC,"$17,547,092 ","$16,565,077 ","$14,220,420 ",,81.04%,Tennessee Tech,https://sportsdata.usatoday.com/ncaa/finances/221847
173,Central Arkansas,https://sportsdata.usatoday.com/ncaa/finances/106704,Asun,"$17,502,833 ","$17,096,473 ","$13,572,734*",https://sportsdata.usatoday.com/ncaa/#,77.55%,Central Arkansas,https://sportsdata.usatoday.com/ncaa/finances/106704
174,Southern Utah,https://sportsdata.usatoday.com/ncaa/finances/230603,WAC,"$17,259,008 ","$16,254,960 ","$13,094,521 ",,75.87%,Southern Utah,https://sportsdata.usatoday.com/ncaa/finances/230603
175,California State-Bakersfield,https://sportsdata.usatoday.com/ncaa/finances/110486,BigWst,"$17,216,224 ","$17,053,029 ","$14,771,342 ",,85.80%,California State-Bakersfield,https://sportsdata.usatoday.com/ncaa/finances/110486
176,Portland State,https://sportsdata.usatoday.com/ncaa/finances/209807,BigSky,"$16,839,891 ","$16,160,881 ","$13,931,043 ",,82.73%,Portland State,https://sportsdata.usatoday.com/ncaa/finances/209807
177,Northern Kentucky,https://sportsdata.usatoday.com/ncaa/finances/157447,Hor,"$16,467,014 ","$16,521,511 ","$13,525,219 ",,82.14%,Northern Kentucky,https://sportsdata.usatoday.com/ncaa/finances/157447
178,Western Carolina,https://sportsdata.usatoday.com/ncaa/finances/200004,SoCon,"$16,396,597 ","$17,040,389 ","$11,355,000 ",,69.25%,Western Carolina,https://sportsdata.usatoday.com/ncaa/finances/200004
179,North Carolina A&T,https://sportsdata.usatoday.com/ncaa/finances/199102,CAA,"$16,372,030 ","$15,829,584 ","$12,770,399 ",,78.00%,North Carolina A&T,https://sportsdata.usatoday.com/ncaa/finances/199102
180,Delaware State,https://sportsdata.usatoday.com/ncaa/finances/130934,MEAC,"$16,211,290 ","$16,211,290 ","$14,947,002 ",,92.20%,Delaware State,https://sportsdata.usatoday.com/ncaa/finances/130934
181,Texas-Rio Grande Valley,https://sportsdata.usatoday.com/ncaa/finances/227368,WAC,"$16,091,645 ","$14,543,584 ","$13,500,273 ",,83.90%,Texas-Rio Grande Valley,https://sportsdata.usatoday.com/ncaa/finances/227368
182,Central Connecticut,https://sportsdata.usatoday.com/ncaa/finances/128771,NEC,"$16,043,570 ","$16,043,570 ","$13,589,462 ",,84.70%,Central Connecticut,https://sportsdata.usatoday.com/ncaa/finances/128771
183,North Carolina Wilmington,https://sportsdata.usatoday.com/ncaa/finances/199218,CAA,"$15,989,714 ","$15,141,319 ","$11,694,838 ",,73.14%,North Carolina Wilmington,https://sportsdata.usatoday.com/ncaa/finances/199218
184,VMI,https://sportsdata.usatoday.com/ncaa/finances/234085,SoCon,"$15,960,931 ","$16,114,012 ","$7,216,829 ",,45.22%,VMI,https://sportsdata.usatoday.com/ncaa/finances/234085
185,Norfolk State,https://sportsdata.usatoday.com/ncaa/finances/232937,MEAC,"$15,929,886 ","$15,928,886 ","$12,301,575 ",,77.22%,Norfolk State,https://sportsdata.usatoday.com/ncaa/finances/232937
186,Tennessee State,https://sportsdata.usatoday.com/ncaa/finances/221838,OVC,"$15,883,556 ","$15,883,556 ","$12,899,140 ",,81.21%,Tennessee State,https://sportsdata.usatoday.com/ncaa/finances/221838
187,Radford,https://sportsdata.usatoday.com/ncaa/finances/233277,BigSou,"$15,848,430 ","$12,194,004 ","$12,981,106 ",,81.91%,Radford,https://sportsdata.usatoday.com/ncaa/finances/233277
188,Weber State,https://sportsdata.usatoday.com/ncaa/finances/230782,BigSky,"$15,842,365 ","$16,447,647 ","$10,221,299*",https://sportsdata.usatoday.com/ncaa/#,64.52%,Weber State,https://sportsdata.usatoday.com/ncaa/finances/230782
189,Southeastern Louisiana,https://sportsdata.usatoday.com/ncaa/finances/160612,SthLnd,"$14,876,169 ","$14,775,594 ","$8,114,007*",https://sportsdata.usatoday.com/ncaa/#,54.54%,Southeastern Louisiana,https://sportsdata.usatoday.com/ncaa/finances/160612
190,North Florida,https://sportsdata.usatoday.com/ncaa/finances/136172,Asun,"$14,783,497 ","$14,456,960 ","$9,553,475 ",,64.62%,North Florida,https://sportsdata.usatoday.com/ncaa/finances/136172
191,Texas A&M-Corpus Christi,https://sportsdata.usatoday.com/ncaa/finances/224147,SthLnd,"$14,616,970 ","$14,968,202 ","$11,834,539 ",,80.96%,Texas A&M-Corpus Christi,https://sportsdata.usatoday.com/ncaa/finances/224147
192,Alabama State,https://sportsdata.usatoday.com/ncaa/finances/100724,SWAC,"$14,550,273 ","$17,892,138 ","$9,439,916 ",,64.88%,Alabama State,https://sportsdata.usatoday.com/ncaa/finances/100724
193,Tennessee-Martin,https://sportsdata.usatoday.com/ncaa/finances/221768,OVC,"$14,461,961 ","$14,461,961 ","$9,977,973 ",,68.99%,Tennessee-Martin,https://sportsdata.usatoday.com/ncaa/finances/221768
194,Utah Tech,https://sportsdata.usatoday.com/ncaa/finances/230171,WAC,"$14,348,736 ","$13,987,957 ","$11,472,253 ",,79.95%,Utah Tech,https://sportsdata.usatoday.com/ncaa/finances/230171
195,Prairie View A&M,https://sportsdata.usatoday.com/ncaa/finances/227526,SWAC,"$14,322,177 ","$18,821,203 ","$10,870,710 ",,75.90%,Prairie View A&M,https://sportsdata.usatoday.com/ncaa/finances/227526
196,Cleveland State,https://sportsdata.usatoday.com/ncaa/finances/202134,Hor,"$14,140,486 ","$14,145,508 ","$11,726,254 ",,82.93%,Cleveland State,https://sportsdata.usatoday.com/ncaa/finances/202134
197,Alabama A&M,https://sportsdata.usatoday.com/ncaa/finances/100654,SWAC,"$14,006,086 ","$14,189,129 ","$12,660,512 ",,90.39%,Alabama A&M,https://sportsdata.usatoday.com/ncaa/finances/100654
198,North Alabama,https://sportsdata.usatoday.com/ncaa/finances/101879,Asun,"$13,788,806 ","$13,788,806 ","$10,373,112 ",,75.23%,North Alabama,https://sportsdata.usatoday.com/ncaa/finances/101879
199,Arkansas-Little Rock,https://sportsdata.usatoday.com/ncaa/finances/106245,OVC,"$13,734,051 ","$13,928,945 ","$10,073,398 ",,73.35%,Arkansas-Little Rock,https://sportsdata.usatoday.com/ncaa/finances/106245
200,McNeese State,https://sportsdata.usatoday.com/ncaa/finances/159717,SthLnd,"$13,623,100 ","$13,321,532 ","$6,899,234 ",,50.64%,McNeese State,https://sportsdata.usatoday.com/ncaa/finances/159717
201,Northwestern State La,https://sportsdata.usatoday.com/ncaa/finances/160038,SthLnd,"$13,505,438 ","$13,234,261 ","$9,203,843 ",,68.15%,Northwestern State La,https://sportsdata.usatoday.com/ncaa/finances/160038
202,Texas Southern,https://sportsdata.usatoday.com/ncaa/finances/229063,SWAC,"$13,362,715 ","$13,362,715 ","$9,639,506 ",,72.14%,Texas Southern,https://sportsdata.usatoday.com/ncaa/finances/229063
203,Purdue Fort Wayne,https://sportsdata.usatoday.com/ncaa/finances/151102,Hor,"$13,300,194 ","$13,062,826 ","$10,887,276 ",,81.86%,Purdue Fort Wayne,https://sportsdata.usatoday.com/ncaa/finances/151102
204,South Carolina State,https://sportsdata.usatoday.com/ncaa/finances/218733,MEAC,"$13,271,355 ","$7,857,836 ","$9,648,463 ",,72.70%,South Carolina State,https://sportsdata.usatoday.com/ncaa/finances/218733
205,Florida A&M,https://sportsdata.usatoday.com/ncaa/finances/133650,SWAC,"$13,172,315 ","$12,049,059 ","$7,880,718 ",,59.83%,Florida A&M,https://sportsdata.usatoday.com/ncaa/finances/133650
206,Eastern Washington,https://sportsdata.usatoday.com/ncaa/finances/235097,BigSky,"$12,886,340 ","$16,032,290 ","$8,994,686 ",,69.80%,Eastern Washington,https://sportsdata.usatoday.com/ncaa/finances/235097
207,Eastern Illinois,https://sportsdata.usatoday.com/ncaa/finances/144892,OVC,"$12,837,153 ","$14,551,286 ","$8,752,715 ",,68.18%,Eastern Illinois,https://sportsdata.usatoday.com/ncaa/finances/144892
208,Jackson State,https://sportsdata.usatoday.com/ncaa/finances/175856,SWAC,"$12,821,652 ","$12,637,183 ","$5,047,840 ",,39.37%,Jackson State,https://sportsdata.usatoday.com/ncaa/finances/175856
209,Southeast Missouri State,https://sportsdata.usatoday.com/ncaa/finances/179557,OVC,"$12,807,771 ","$12,807,770 ","$9,430,049*",https://sportsdata.usatoday.com/ncaa/#,73.63%,Southeast Missouri State,https://sportsdata.usatoday.com/ncaa/finances/179557
210,Missouri-Kansas City,https://sportsdata.usatoday.com/ncaa/finances/178402,Summit,"$12,337,892 ","$12,893,022 ","$10,036,067 ",,81.34%,Missouri-Kansas City,https://sportsdata.usatoday.com/ncaa/finances/178402
211,Longwood,https://sportsdata.usatoday.com/ncaa/finances/232566,BigSou,"$12,319,728 ","$12,023,800 ","$10,048,141 ",,81.56%,Longwood,https://sportsdata.usatoday.com/ncaa/finances/232566
212,Idaho State,https://sportsdata.usatoday.com/ncaa/finances/142276,BigSky,"$12,137,163 ","$15,447,714 ","$8,137,219 ",,67.04%,Idaho State,https://sportsdata.usatoday.com/ncaa/finances/142276
213,Morehead State,https://sportsdata.usatoday.com/ncaa/finances/157386,OVC,"$11,639,966 ","$11,639,966 ","$9,470,790 ",,81.36%,Morehead State,https://sportsdata.usatoday.com/ncaa/finances/157386
214,Winthrop,https://sportsdata.usatoday.com/ncaa/finances/218964,BigSou,"$11,409,622 ","$11,515,673 ","$9,485,007 ",,83.13%,Winthrop,https://sportsdata.usatoday.com/ncaa/finances/218964
215,Grambling State,https://sportsdata.usatoday.com/ncaa/finances/159009,SWAC,"$11,378,552 ","$12,334,219 ","$8,410,793 ",,73.92%,Grambling State,https://sportsdata.usatoday.com/ncaa/finances/159009
216,North Carolina Central,https://sportsdata.usatoday.com/ncaa/finances/199157,MEAC,"$11,339,477 ","$11,339,477 ","$8,680,735 ",,76.55%,North Carolina Central,https://sportsdata.usatoday.com/ncaa/finances/199157
217,Southern Illinois Edwardsville,https://sportsdata.usatoday.com/ncaa/finances/149231,OVC,"$11,204,485 ","$11,106,055 ","$8,456,207 ",,75.47%,Southern Illinois Edwardsville,https://sportsdata.usatoday.com/ncaa/finances/149231
218,Morgan State,https://sportsdata.usatoday.com/ncaa/finances/163453,MEAC,"$11,126,282 ","$14,924,648 ","$9,182,589*",https://sportsdata.usatoday.com/ncaa/#,82.53%,Morgan State,https://sportsdata.usatoday.com/ncaa/finances/163453
219,Wright State,https://sportsdata.usatoday.com/ncaa/finances/206604,Hor,"$11,046,655 ","$10,698,961 ","$8,508,660 ",,77.02%,Wright State,https://sportsdata.usatoday.com/ncaa/finances/206604
220,Nicholls State,https://sportsdata.usatoday.com/ncaa/finances/159966,SthLnd,"$10,961,304 ","$11,164,752 ","$6,619,997 ",,60.39%,Nicholls State,https://sportsdata.usatoday.com/ncaa/finances/159966
221,Indiana-Purdue Indianapolis,https://sportsdata.usatoday.com/ncaa/finances/151111,Hor,"$10,289,130 ","$10,281,924 ","$8,989,403*",https://sportsdata.usatoday.com/ncaa/#,87.37%,Indiana-Purdue Indianapolis,https://sportsdata.usatoday.com/ncaa/finances/151111
222,Western Illinois,https://sportsdata.usatoday.com/ncaa/finances/149772,Summit,"$10,066,267 ","$11,703,844 ","$7,225,534 ",,71.78%,Western Illinois,https://sportsdata.usatoday.com/ncaa/finances/149772
223,Wisconsin-Green Bay,https://sportsdata.usatoday.com/ncaa/finances/240277,Hor,"$9,500,254 ","$8,898,030 ","$6,220,222*",https://sportsdata.usatoday.com/ncaa/#,65.47%,Wisconsin-Green Bay,https://sportsdata.usatoday.com/ncaa/finances/240277
224,South Carolina Upstate,https://sportsdata.usatoday.com/ncaa/finances/218742,BigSou,"$8,941,784 ","$8,946,029 ","$7,710,628 ",,86.23%,South Carolina Upstate,https://sportsdata.usatoday.com/ncaa/finances/218742
225,North Carolina Asheville,https://sportsdata.usatoday.com/ncaa/finances/199111,BigSou,"$8,720,475 ","$8,884,929 ","$6,158,701 ",,70.62%,North Carolina Asheville,https://sportsdata.usatoday.com/ncaa/finances/199111
226,Arkansas-Pine Bluff,https://sportsdata.usatoday.com/ncaa/finances/106412,SWAC,"$8,650,669 ","$8,689,626 ","$4,397,206 ",,50.83%,Arkansas-Pine Bluff,https://sportsdata.usatoday.com/ncaa/finances/106412
227,Chicago State,https://sportsdata.usatoday.com/ncaa/finances/144005,Ind,"$8,001,394 ","$8,398,712 ","$7,468,157 ",,93.34%,Chicago State,https://sportsdata.usatoday.com/ncaa/finances/144005
228,Maryland-Eastern Shore,https://sportsdata.usatoday.com/ncaa/finances/163338,MEAC,"$7,875,993 ","$7,875,993 ","$6,409,243 ",,81.38%,Maryland-Eastern Shore,https://sportsdata.usatoday.com/ncaa/finances/163338
229,Alcorn State,https://sportsdata.usatoday.com/ncaa/finances/175342,SWAC,"$6,159,503 ","$6,863,951 ","$3,241,371 ",,52.62%,Alcorn State,https://sportsdata.usatoday.com/ncaa/finances/175342
230,Coppin State,https://sportsdata.usatoday.com/ncaa/finances/162283,MEAC,"$4,091,289 ","$5,254,060 ","$2,365,932 ",,57.83%,Coppin State,https://sportsdata.usatoday.com/ncaa/finances/162283
231,Mississippi Valley State,https://sportsdata.usatoday.com/ncaa/finances/176044,SWAC,"$4,040,925 ","$4,040,925 ","$2,399,030 ",,59.37%,Mississippi Valley State,https://sportsdata.usatoday.com/ncaa/finances/176044
232,New Orleans,https://sportsdata.usatoday.com/ncaa/finances/159939,SthLnd,"$2,526,887 ","$4,810,778 ","$972,706*",https://sportsdata.usatoday.com/ncaa/#,38.49%,New Orleans,https://sportsdata.usatoday.com/ncaa/finances/159939
