Rank,School,Link,Conference,Total Revenue,Total Expenses,Total Allocated,Link,Percent Allocated,School,Link
28,Missouri,https://sportsdata.usatoday.com/ncaa/finances/178396,SEC,"$141,157,028 ","$125,621,128 ","$13,157,427 ",,9.32%,Missouri,https://sportsdata.usatoday.com/ncaa/finances/178396
29,Minnesota,https://sportsdata.usatoday.com/ncaa/finances/174066,Big 10,"$135,198,272 ","$130,285,463 ","$7,986,732 ",,5.91%,Minnesota,https://sportsdata.usatoday.com/ncaa/finances/174066
30,Mississippi,https://sportsdata.usatoday.com/ncaa/finances/176017,SEC,"$133,557,937 ","$138,796,990 ","$4,074,525*",https://sportsdata.usatoday.com/ncaa/#,3.05%,Mississippi,https://sportsdata.usatoday.com/ncaa/finances/176017
31,Arizona,https://sportsdata.usatoday.com/ncaa/finances/104179,Pac-12,"$124,353,539 ","$124,944,926 ","$31,112,818 ",,25.02%,Arizona,https://sportsdata.usatoday.com/ncaa/finances/104179
32,North Carolina,https://sportsdata.usatoday.com/ncaa/finances/199120,ACC,"$122,603,567 ","$120,314,967 ","$9,603,022 ",,7.83%,North Carolina,https://sportsdata.usatoday.com/ncaa/finances/199120
33,Arizona State,https://sportsdata.usatoday.com/ncaa/finances/104151,Pac-12,"$121,079,615 ","$124,008,192 ","$19,253,112*",https://sportsdata.usatoday.com/ncaa/#,15.90%,Arizona State,https://sportsdata.usatoday.com/ncaa/finances/104151
34,California,https://sportsdata.usatoday.com/ncaa/finances/110635,Pac-12,"$118,212,179 ","$114,485,848 ","$29,129,403*",https://sportsdata.usatoday.com/ncaa/#,24.64%,California,https://sportsdata.usatoday.com/ncaa/finances/110635
35,Kansas,https://sportsdata.usatoday.com/ncaa/finances/155317,Big 12,"$118,020,175 ","$108,696,078 ","$1,516,194 ",,1.28%,Kansas,https://sportsdata.usatoday.com/ncaa/finances/155317
36,Utah,https://sportsdata.usatoday.com/ncaa/finances/230764,Pac-12,"$115,719,266 ","$111,880,434 ","$13,516,660 ",,11.68%,Utah,https://sportsdata.usatoday.com/ncaa/finances/230764
37,Purdue,https://sportsdata.usatoday.com/ncaa/finances/243780,Big 10,"$115,139,432 ","$93,025,810 ",$0 ,,0.00%,Purdue,https://sportsdata.usatoday.com/ncaa/finances/243780
38,Virginia Tech,https://sportsdata.usatoday.com/ncaa/finances/233921,ACC,"$113,000,052 ","$117,777,441 ","$14,193,159 ",,12.56%,Virginia Tech,https://sportsdata.usatoday.com/ncaa/finances/233921
39,Iowa State,https://sportsdata.usatoday.com/ncaa/finances/153603,Big 12,"$111,287,492 ","$111,227,458 ","$1,847,367 ",,1.66%,Iowa State,https://sportsdata.usatoday.com/ncaa/finances/153603
40,Mississippi State,https://sportsdata.usatoday.com/ncaa/finances/176080,SEC,"$110,653,367 ","$105,841,622 ",$0*,https://sportsdata.usatoday.com/ncaa/#,0.00%,Mississippi State,https://sportsdata.usatoday.com/ncaa/finances/176080
41,Texas Tech,https://sportsdata.usatoday.com/ncaa/finances/229115,Big 12,"$110,154,695 ","$104,778,443 ","$5,830,118 ",,5.29%,Texas Tech,https://sportsdata.usatoday.com/ncaa/finances/229115
42,Rutgers,https://sportsdata.usatoday.com/ncaa/finances/186380,Big 10,"$109,601,529 ","$138,439,077 ","$24,034,296 ",,21.93%,Rutgers,https://sportsdata.usatoday.com/ncaa/finances/186380
43,Maryland,https://sportsdata.usatoday.com/ncaa/finances/163286,Big 10,"$107,526,374 ","$114,385,462 ","$15,252,530 ",,14.18%,Maryland,https://sportsdata.usatoday.com/ncaa/finances/163286
44,Georgia Tech,https://sportsdata.usatoday.com/ncaa/finances/139755,ACC,"$106,635,094 ","$104,719,581 ","$11,865,676 ",,11.13%,Georgia Tech,https://sportsdata.usatoday.com/ncaa/finances/139755
45,West Virginia,https://sportsdata.usatoday.com/ncaa/finances/238032,Big 12,"$105,193,311 ","$97,067,706 ","$8,887,649 ",,8.45%,West Virginia,https://sportsdata.usatoday.com/ncaa/finances/238032
