"Year","Team","Classification","Conference","Total Games","Total Wins","Total Losses","RegularSeason Games","RegularSeason Wins","RegularSeason Losses","Postseason Games","Postseason Wins","Postseason Losses"
"2024","Howard","fcs","MEAC","12","4","8","12","4","8","0","0","0"
"2024","NEWBERG","iii","Northwest","10","4","6","10","4","6","0","0","0"
"2024","Northern Iowa","fcs","MVFC","12","3","9","12","3","9","0","0","0"
"2024","Franklin","iii","Heartland","10","3","7","10","3","7","0","0","0"
"2024","New Mexico State","fbs","Conference USA","12","3","9","12","3","9","0","0","0"
"2024","Middle Tennessee","fbs","Conference USA","12","3","9","12","3","9","0","0","0"
"2024","Averett","iii","Old Dominion","10","3","7","10","3","7","0","0","0"
"2024","Southern Nazarene","ii","Great American","11","3","8","11","3","8","0","0","0"
"2024","Oklahoma State","fbs","Big 12","12","3","9","12","3","9","0","0","0"
"2024","Temple","fbs","American Athletic","12","3","9","12","3","9","0","0","0"
"2024","Campbell","fcs","CAA","12","3","9","12","3","9","0","0","0"
"2024","Sacramento State","fcs","Big Sky","12","3","9","12","3","9","0","0","0"
"2024","Princeton","fcs","Ivy","10","3","7","10","3","7","0","0","0"
"2024","Gallaudet","iii","ECFC","7","3","4","7","3","4","0","0","0"
"2024","St. Lawrence","iii","Liberty League","9","3","6","9","3","6","0","0","0"
"2024","Gannon","ii","Pennsylvania State Athletic","10","3","7","10","3","7","0","0","0"
"2024","Elizabeth City State","ii","CIAA","10","3","7","10","3","7","0","0","0"
"2024","Shorter","ii","Gulf South","10","3","5","10","3","5","0","0","0"
"2024","Fort Lewis","ii","Rocky Mountain","11","3","8","11","3","8","0","0","0"
"2024","Washburn","ii","Mid America","11","3","8","11","3","8","0","0","0"
"2024","San Diego State","fbs","Mountain West","12","3","9","12","3","9","0","0","0"
"2024","Nichols College","iii","Commonwealth Coast","10","3","7","10","3","7","0","0","0"
"2024","St John Fisher University","iii","Empire 8","10","3","7","10","3","7","0","0","0"
"2024","Edward Waters","ii","SIAC","10","3","7","10","3","7","0","0","0"
"2024","Knox College","iii","Midwest","10","3","7","10","3","7","0","0","0"
"2024","Redlands","iii","So. Cal.","10","3","7","10","3","7","0","0","0"
"2024","Olivet College","iii","Michigan","10","3","7","10","3","7","0","0","0"
"2024","Chowan","ii","Gulf South","10","3","7","10","3","7","0","0","0"
"2024","UTEP","fbs","Conference USA","12","3","9","12","3","9","0","0","0"
"2024","Rhodes College","iii","Southern Athletic","10","3","7","10","3","7","0","0","0"
"2024","Castleton","iii","MSCAC","10","3","7","10","3","7","0","0","0"
"2024","East Texas A&M","fcs","Southland","12","3","9","12","3","9","0","0","0"
"2024","North Alabama","fcs","UAC","12","3","9","12","3","9","0","0","0"
"2024","Eastern Illinois","fcs","Big South-OVC","12","3","9","12","3","9","0","0","0"
"2024","Clarion","ii","Pennsylvania State Athletic","11","3","8","11","3","8","0","0","0"
"2024","Eastern New Mexico","ii","Lone Star","11","3","8","11","3","8","0","0","0"
"2024","Buffalo State","iii","Liberty League","10","3","7","10","3","7","0","0","0"
"2024","Wilson","ii","South Atlantic","11","3","8","11","3","8","0","0","0"
"2024","Furman","fcs","Southern","12","3","8","12","3","8","0","0","0"
"2024","Union (NY)","iii","Liberty League","10","3","7","10","3","7","0","0","0"
"2024","Nebraska Wesleyan","iii","American Rivers","10","3","7","10","3","7","0","0","0"
"2024","Nevada","fbs","Mountain West","13","3","10","13","3","10","0","0","0"
"2024","Brown","fcs","Ivy","10","3","7","10","3","7","0","0","0"
"2024","Southwestern Oklahoma State","ii","Great American","11","3","8","11","3","8","0","0","0"
"2024","Wyoming","fbs","Mountain West","12","3","9","12","3","9","0","0","0"
"2024","Guilford College","iii","Old Dominion","10","3","7","10","3","7","0","0","0"
"2024","Edinboro University","ii","Pennsylvania State Athletic","11","3","8","11","3","8","0","0","0"
"2024","Misericordia","iii","Mid Atlantic","10","3","7","10","3","7","0","0","0"
"2024","Bluffton","iii","Heartland","10","3","7","10","3","7","0","0","0"
"2024","Portland State","fcs","Big Sky","12","3","8","12","3","8","0","0","0"
"2024","Hamline University","iii","Minnesota","10","3","7","10","3","7","0","0","0"
"2024","Tulsa","fbs","American Athletic","12","3","9","12","3","9","0","0","0"
"2024","Thiel","iii","Presidents'","10","3","7","10","3","7","0","0","0"
"2024","Bowdoin","iii","NESCAC","9","3","6","9","3","6","0","0","0"
"2024","Anderson (Sc)","ii","South Atlantic","11","3","8","11","3","8","0","0","0"
"2024","Montclair State","iii","New Jersey","10","3","7","10","3","7","0","0","0"
"2024","Florida Atlantic","fbs","American Athletic","12","3","9","12","3","9","0","0","0"
"2024","Chadron St","ii","Rocky Mountain","11","3","8","11","3","8","0","0","0"
"2024","Elmhurst","iii","CCIW","10","3","7","10","3","7","0","0","0"
"2024","Worcester St","iii","MSCAC","10","3","7","10","3","7","0","0","0"
"2024","Seton Hill","ii","Pennsylvania State Athletic","11","3","8","11","3","8","0","0","0"
"2024","Sul Ross State","ii","Lone Star","11","3","8","11","3","8","0","0","0"
"2024","MIT","iii","NEWMAC","9","3","6","9","3","6","0","0","0"
"2024","Newberry","ii","South Atlantic","11","3","7","11","3","7","0","0","0"
"2024","Arkansas-Pine Bluff","fcs","SWAC","12","3","9","12","3","9","0","0","0"
"2024","Catawba","ii","South Atlantic","11","3","8","11","3","8","0","0","0"
"2024","Framingham State","iii","MSCAC","10","3","7","10","3","7","0","0","0"
"2024","Wooster","iii","North Coast","10","3","7","10","3","7","0","0","0"
"2024","Stanford","fbs","ACC","12","3","9","12","3","9","0","0","0"
"2024","Ball State","fbs","Mid-American","12","3","9","12","3","9","0","0","0"
"2024","Georgia State","fbs","Sun Belt","12","3","9","12","3","9","0","0","0"
"2024","Cal Poly","fcs","Big Sky","11","3","8","11","3","8","0","0","0"
"2024","UAB","fbs","American Athletic","12","3","9","12","3","9","0","0","0"
"2024","Buena Vista","iii","American Rivers","10","2","8","10","2","8","0","0","0"
"2024","New Mexico Highlands","ii","Rocky Mountain","11","2","9","11","2","9","0","0","0"
"2024","Wisconsin-Eau Claire","iii","Wisconsin","10","2","8","10","2","8","0","0","0"
"2024","Lake Erie","ii","Great Midwest Athletic","11","2","9","11","2","9","0","0","0"
"2024","Carthage","iii","CCIW","10","2","8","10","2","8","0","0","0"
"2024","Kentucky Wesleyan","ii","Great Midwest Athletic","11","2","9","11","2","9","0","0","0"
"2024","Concordia University Chicago","iii","NACC","10","2","8","10","2","8","0","0","0"
"2024","Missouri Southern State","ii","Mid America","11","2","9","11","2","9","0","0","0"
"2024","Northwestern Oklahoma State","ii","Great American","11","2","9","11","2","9","0","0","0"
"2024","Apprentice School","iii","Independent DIII","4","2","2","4","2","2","0","0","0"
"2024","Stetson","fcs","Pioneer","12","2","9","12","2","9","0","0","0"
"2024","Bethune-Cookman","fcs","SWAC","12","2","10","12","2","10","0","0","0"
"2024","Amherst","iii","NESCAC","9","2","7","9","2","7","0","0","0"
"2024","Mississippi State","fbs","SEC","12","2","10","12","2","10","0","0","0"
"2024","Wayne State (MI)","ii","GLIAC","11","2","9","11","2","9","0","0","0"
"2024","Austin","iii","Southern Collegiate Athletic","10","2","8","10","2","8","0","0","0"
"2024","Kennesaw State","fbs","Conference USA","12","2","10","12","2","10","0","0","0"
"2024","Gettysburg","iii","Centennial","10","2","8","10","2","8","0","0","0"
"2024","Concordia University St Paul","ii","Northern Sun","11","2","9","11","2","9","0","0","0"
"2024","Shippensburg","ii","Pennsylvania State Athletic","11","2","9","11","2","9","0","0","0"
"2024","Hartwick","iii","Empire 8","10","2","8","10","2","8","0","0","0"
"2024","Grinnell","iii","Midwest","10","2","8","10","2","8","0","0","0"
"2024","Kean","iii","New Jersey","10","2","8","10","2","8","0","0","0"
"2024","Florida State","fbs","ACC","12","2","10","12","2","10","0","0","0"
"2024","Southwest Baptist","ii","Great Lakes","10","2","8","10","2","8","0","0","0"
"2024","Fitchburg State","iii","MSCAC","10","2","8","10","2","8","0","0","0"
"2024","Massachusetts","fbs","FBS Independents","12","2","10","12","2","10","0","0","0"
"2024","Albright","iii","Mid Atlantic","10","2","8","10","2","8","0","0","0"
"2024","Pace","ii","Northeast 10","10","2","8","10","2","8","0","0","0"
"2024","California Lutheran University","iii","So. Cal.","10","2","8","10","2","8","0","0","0"
"2024","Northeastern State","ii","Independent DII","11","2","9","11","2","9","0","0","0"
"2024","Lincoln (PA)","ii","CIAA","10","2","8","10","2","8","0","0","0"
"2024","Bates","iii","NESCAC","9","2","7","9","2","7","0","0","0"
"2024","Oklahoma Baptist","ii","Great American","11","2","9","11","2","9","0","0","0"
"2024","University of Mary","ii","Northern Sun","11","2","9","11","2","9","0","0","0"
"2024","West Liberty","ii","Mountain East","11","2","9","11","2","9","0","0","0"
"2024","Calvin University","iii","Michigan","10","2","8","10","2","8","0","0","0"
"2024","Mississippi College","ii","Gulf South","10","2","8","10","2","8","0","0","0"
"2024","Loras College","iii","American Rivers","10","2","8","10","2","8","0","0","0"
"2024","Willamette","iii","Northwest","10","2","8","10","2","8","0","0","0"
"2024","Anderson (IN)","iii","Heartland","10","2","8","10","2","8","0","0","0"
"2024","Juniata College","iii","Landmark Conference","10","2","8","10","2","8","0","0","0"
"2024","Allen","ii","SIAC","10","2","8","10","2","8","0","0","0"
"2024","Western New Mexico","ii","Lone Star","11","2","9","11","2","9","0","0","0"
"2024","Colgate","fcs","Patriot","12","2","10","12","2","10","0","0","0"
"2024","Fordham","fcs","Patriot","12","2","10","12","2","10","0","0","0"
"2024","Puget Sound","iii","Northwest","10","2","8","10","2","8","0","0","0"
"2024","Sewanee","iii","Southern Athletic","10","2","8","10","2","8","0","0","0"
"2024","Bryant","fcs","CAA","12","2","10","12","2","10","0","0","0"
"2024","Greensboro College","iii","USA South","10","1","9","10","1","9","0","0","0"
"2024","Saint Vincent","iii","Presidents'","10","1","9","10","1","9","0","0","0"
"2024","Mississippi Valley State","fcs","SWAC","12","1","11","12","1","11","0","0","0"
"2024","Stonehill","fcs","NEC","11","1","10","11","1","10","0","0","0"
"2024","Millersville","ii","Pennsylvania State Athletic","11","1","10","11","1","10","0","0","0"
"2024","Charleston Southern","fcs","Big South-OVC","12","1","11","12","1","11","0","0","0"
"2024","Beloit","iii","Midwest","10","1","9","10","1","9","0","0","0"
"2024","Capital","iii","Ohio","10","1","9","10","1","9","0","0","0"
"2024","Reading","iii","Mid Atlantic","10","1","9","10","1","9","0","0","0"
"2024","Keystone","iii","Landmark Conference","10","1","9","10","1","9","0","0","0"
"2024","Oberlin","iii","North Coast","10","1","9","10","1","9","0","0","0"
"2024","Hamilton","iii","NESCAC","9","1","8","9","1","8","0","0","0"
"2024","Murray State","fcs","MVFC","12","1","11","12","1","11","0","0","0"
"2024","LYONCOLL","iii","Southern Collegiate Athletic","10","1","9","10","1","9","0","0","0"
"2024","Wisconsin-Stevens Pt","iii","Wisconsin","10","1","9","10","1","9","0","0","0"
"2024","North Carolina A&T","fcs","CAA","12","1","11","12","1","11","0","0","0"
"2024","Utah Tech","fcs","UAC","12","1","11","12","1","11","0","0","0"
"2024","Marist","fcs","Pioneer","11","1","10","11","1","10","0","0","0"
"2024","VMI","fcs","Southern","12","1","11","12","1","11","0","0","0"
"2024","Purdue","fbs","Big Ten","12","1","11","12","1","11","0","0","0"
"2024","Wilmington (OH)","iii","Ohio","10","1","9","10","1","9","0","0","0"
"2024","Roosevelt","ii","GLIAC","10","1","9","10","1","9","0","0","0"
"2024","Westminster College (MO)","iii","Upper Midwest","10","1","9","10","1","9","0","0","0"
"2024","Central State (OH)","ii","SIAC","10","1","9","10","1","9","0","0","0"
"2024","Bethany (WV)","iii","Presidents'","10","1","9","10","1","9","0","0","0"
"2024","Southern Virginia","iii","USA South","10","1","9","10","1","9","0","0","0"
"2024","Concord University","ii","Mountain East","11","1","10","11","1","10","0","0","0"
"2024","Post University","ii","Northeast 10","10","1","9","10","1","9","0","0","0"
"2024","Bluefield State","ii","CIAA","10","1","9","10","1","9","0","0","0"
"2024","Southern Miss","fbs","Sun Belt","12","1","11","12","1","11","0","0","0"
"2024","Lincoln (MO)","ii","Great Lakes","11","1","10","11","1","10","0","0","0"
"2024","Northern Colorado","fcs","Big Sky","12","1","11","12","1","11","0","0","0"
"2024","Lawrence University","iii","Midwest","10","1","9","10","1","9","0","0","0"
"2024","Allegheny","iii","Presidents'","10","1","9","10","1","9","0","0","0"
"2024","Crown College","iii","Upper Midwest","10","1","9","10","1","9","0","0","0"
"2024","ERSKINE","ii","Gulf South","10","1","8","10","1","8","0","0","0"
"2024","McDaniel College","iii","Centennial","10","1","9","10","1","9","0","0","0"
"2024","Howard Payne","iii","American Southwest","9","1","8","9","1","8","0","0","0"
"2024","Methodist","iii","USA South","10","1","9","10","1","9","0","0","0"
"2024","Morehouse College","ii","SIAC","10","1","9","10","1","9","0","0","0"
"2024","William Paterson","iii","New Jersey","10","1","9","10","1","9","0","0","0"
"2024","Luther","iii","American Rivers","10","1","9","10","1","9","0","0","0"
"2024","Delaware State","fcs","MEAC","12","1","11","12","1","11","0","0","0"
"2024","Greeneville","ii","South Atlantic","10","1","9","10","1","9","0","0","0"
"2024","Otterbein","iii","Ohio","10","1","9","10","1","9","0","0","0"
"2024","Manchester","iii","Heartland","10","0","10","10","0","10","0","0","0"
"2024","La Verne","iii","So. Cal.","10","0","10","10","0","10","0","0","0"
"2024","Northwestern State","fcs","Southland","12","0","12","12","0","12","0","0","0"
"2024","Southwest Minnesota State","ii","Northern Sun","11","0","11","11","0","11","0","0","0"
"2024","Adams State","ii","Rocky Mountain","11","0","11","11","0","11","0","0","0"
"2024","Dean College","iii","ECFC","8","0","8","8","0","8","0","0","0"
"2024","Macalester","iii","Minnesota","10","0","10","10","0","10","0","0","0"
"2024","Oklahoma Panhandle St","ii","Independent DII","1","0","1","1","0","1","0","0","0"
"2024","Hiram College","iii","North Coast","10","0","9","10","0","9","0","0","0"
"2024","Northern Michigan","ii","GLIAC","11","0","11","11","0","11","0","0","0"
"2024","West Virginia Wesleyan","ii","Mountain East","11","0","11","11","0","11","0","0","0"
"2024","Norwich","iii","NEWMAC","10","0","10","10","0","10","0","0","0"
"2024","Eureka College","iii","NACC","10","0","10","10","0","10","0","0","0"
"2024","Maine Maritime","iii","Independent DIII","3","0","3","3","0","3","0","0","0"
"2024","Millikin","iii","CCIW","10","0","10","10","0","10","0","0","0"
"2024","Lincoln (CA)","ii","Independent DII","11","0","11","11","0","11","0","0","0"
"2024","Kent State","fbs","Mid-American","12","0","12","12","0","12","0","0","0"
"2024","Hilbert College","iii","Empire 8","10","0","10","10","0","10","0","0","0"
